iter	Passed	Remaining
0	0	20
1	0	21
2	0	19
3	0	18
4	0	18
5	1	18
6	1	17
7	1	18
8	1	17
9	1	17
10	2	17
11	2	17
12	2	17
13	2	16
14	2	16
15	3	16
16	3	16
17	3	16
18	3	15
19	3	15
20	4	15
21	4	15
22	4	15
23	4	14
24	4	14
25	5	14
26	5	14
27	5	14
28	5	13
29	5	13
30	6	13
31	6	13
32	6	13
33	6	13
34	7	13
35	7	13
36	7	12
37	7	12
38	8	12
39	8	12
40	8	12
41	8	11
42	8	11
43	8	11
44	9	11
45	9	11
46	9	10
47	9	10
48	10	10
49	10	10
50	10	9
51	10	9
52	10	9
53	11	9
54	11	9
55	11	8
56	11	8
57	11	8
58	11	8
59	12	8
60	12	7
61	12	7
62	12	7
63	12	7
64	13	7
65	13	6
66	13	6
67	13	6
68	14	6
69	14	6
70	14	6
71	15	5
72	15	5
73	15	5
74	16	5
75	16	5
76	16	4
77	16	4
78	17	4
79	17	4
80	17	4
81	17	3
82	18	3
83	18	3
84	18	3
85	18	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	1
91	20	1
92	20	1
93	20	1
94	21	1
95	21	0
96	21	0
97	21	0
98	22	0
99	22	0
