iter	RMSE
0	14.64547397
1	14.25598658
2	13.89026453
3	13.52946334
4	13.19223165
5	12.9075955
6	12.5934501
7	12.32530737
8	12.06993567
9	11.77778475
10	11.49789796
11	11.25352806
12	11.02723665
13	10.78352828
14	10.54737197
15	10.31315951
16	10.09472916
17	9.90422441
18	9.710252237
19	9.524229162
20	9.377779807
21	9.226291705
22	9.051918115
23	8.894368305
24	8.737149741
25	8.593025127
26	8.443105183
27	8.323008125
28	8.188838708
29	8.062665034
30	7.967421601
31	7.857338677
32	7.750004976
33	7.629290973
34	7.51956527
35	7.414414758
36	7.31857725
37	7.237051001
38	7.148249786
39	7.063769779
40	6.979460476
41	6.902011444
42	6.836969537
43	6.778957188
44	6.71033138
45	6.655798715
46	6.59542513
47	6.53509905
48	6.478760757
49	6.42402634
50	6.372785428
51	6.32468997
52	6.278676185
53	6.234699862
54	6.187661854
55	6.145131356
56	6.106207259
57	6.070411531
58	6.035543841
59	6.005572865
60	5.976414614
61	5.944266428
62	5.914955639
63	5.885553885
64	5.859610017
65	5.833927389
66	5.805215385
67	5.779242421
68	5.756619327
69	5.732704421
70	5.707638093
71	5.688629574
72	5.66956773
73	5.64882091
74	5.626883284
75	5.604143393
76	5.589179027
77	5.569752559
78	5.555724824
79	5.538601632
80	5.523304674
81	5.506993325
82	5.492298351
83	5.478236698
84	5.462990771
85	5.448464881
86	5.435531302
87	5.422008764
88	5.408451301
89	5.394151243
90	5.381668567
91	5.372549457
92	5.359544506
93	5.346442021
94	5.336930131
95	5.329122995
96	5.319972109
97	5.311963548
98	5.305192325
99	5.296389853
100	5.288653552
101	5.278688214
102	5.27091123
103	5.259922757
104	5.251356828
105	5.242821456
106	5.232149078
107	5.225755852
108	5.217886193
109	5.211052779
110	5.203544926
111	5.197843373
112	5.191428175
113	5.182747497
114	5.177272325
115	5.169937409
116	5.165287716
117	5.158873347
118	5.15043629
119	5.145080812
120	5.142888835
121	5.134852526
122	5.128745042
123	5.123917128
124	5.116212955
125	5.113056961
126	5.109817969
127	5.1025544
128	5.097502066
129	5.093284053
130	5.091288956
131	5.087706982
132	5.079379819
133	5.071763347
134	5.064512657
135	5.061374005
136	5.055190383
137	5.051742741
138	5.044394071
139	5.038481104
140	5.032602659
141	5.028334655
142	5.027689428
143	5.019634068
144	5.015951683
145	5.012384133
146	5.006178356
147	5.003598233
148	4.998000186
149	4.997691645
150	4.991440499
151	4.9888037
152	4.985204726
153	4.98276374
154	4.980539052
155	4.976354357
156	4.971828898
157	4.965989165
158	4.961684105
159	4.956418835
160	4.95427441
161	4.952330731
162	4.947377354
163	4.942337016
164	4.936905441
165	4.932836976
166	4.930315115
167	4.927028236
168	4.92259367
169	4.919481635
170	4.916326017
171	4.910853632
172	4.906374519
173	4.90214524
174	4.89744308
175	4.893841599
176	4.889213409
177	4.886016346
178	4.880337246
179	4.876259139
180	4.870189182
181	4.864604802
182	4.86067977
183	4.857053923
184	4.853527234
185	4.84970081
186	4.84811657
187	4.842593406
188	4.838481933
189	4.831828399
190	4.828998991
191	4.82696186
192	4.824266803
193	4.819581506
194	4.814331554
195	4.809656653
196	4.806491147
197	4.802350154
198	4.799118137
199	4.796780164
200	4.794998268
201	4.793708762
202	4.79046918
203	4.787056571
204	4.783795934
205	4.780040384
206	4.777700123
207	4.772975186
208	4.767444248
209	4.763491537
210	4.761260294
211	4.758024651
212	4.755147879
213	4.753971812
214	4.748121017
215	4.745650279
216	4.742989827
217	4.740100715
218	4.737109675
219	4.73319287
220	4.731356062
221	4.728586897
222	4.724267632
223	4.719401237
224	4.715604216
225	4.715486088
226	4.713007915
227	4.711892194
228	4.708906329
229	4.705083426
230	4.702918912
231	4.701268924
232	4.699010041
233	4.694474499
234	4.692022488
235	4.686559174
236	4.683458112
237	4.677062293
238	4.674493444
239	4.671495428
240	4.668238671
241	4.664336871
242	4.662107232
243	4.661330406
244	4.656447531
245	4.655117767
246	4.651249135
247	4.64832202
248	4.645329564
249	4.642737086
250	4.636308607
251	4.632244401
252	4.628859889
253	4.626501614
254	4.624449944
255	4.619322155
256	4.619050371
257	4.615284052
258	4.612159687
259	4.608248274
260	4.606277277
261	4.603935321
262	4.60168332
263	4.600830378
264	4.599701928
265	4.592442102
266	4.590301082
267	4.587811309
268	4.58401576
269	4.576798988
270	4.574982979
271	4.568666324
272	4.564071562
273	4.561512987
274	4.560278461
275	4.558445163
276	4.554825345
277	4.548688173
278	4.545649608
279	4.543235847
280	4.543023586
281	4.541739209
282	4.537527863
283	4.535075187
284	4.534883923
285	4.530691075
286	4.526777392
287	4.524398169
288	4.522517576
289	4.521776586
290	4.520880971
291	4.517973548
292	4.515699776
293	4.510075951
294	4.506718838
295	4.500929947
296	4.495889455
297	4.495521558
298	4.494437187
299	4.489702295
300	4.486646752
301	4.484481631
302	4.483760387
303	4.482090895
304	4.481270647
305	4.473469488
306	4.466287654
307	4.459964054
308	4.454950258
309	4.449487651
310	4.447749162
311	4.44119227
312	4.437458483
313	4.436294249
314	4.431795139
315	4.427805278
316	4.426274954
317	4.422561051
318	4.419925099
319	4.415479148
320	4.413181729
321	4.409562669
322	4.408090312
323	4.407833237
324	4.406745253
325	4.401390818
326	4.399309101
327	4.393722185
328	4.39352666
329	4.388162675
330	4.38716821
331	4.382260311
332	4.378381707
333	4.372467227
334	4.369832483
335	4.364822521
336	4.359010675
337	4.356551041
338	4.353743583
339	4.350363193
340	4.346972107
341	4.345067452
342	4.339821205
343	4.339662196
344	4.336037067
345	4.331569352
346	4.331418379
347	4.326672353
348	4.32245439
349	4.317417876
350	4.316015203
351	4.314006079
352	4.310747207
353	4.308518128
354	4.304289222
355	4.301644679
356	4.298898792
357	4.296269908
358	4.294937937
359	4.293334079
360	4.290092347
361	4.28554691
362	4.283686808
