iter	Passed	Remaining
0	56	56338
1	56	28368
2	57	18974
3	57	14299
4	57	11509
5	58	9633
6	58	8298
7	58	7292
8	59	6506
9	59	5878
10	59	5360
11	59	4928
12	60	4569
13	60	4263
14	60	3995
15	61	3761
16	61	3558
17	61	3370
18	62	3204
19	62	3057
20	62	2925
21	63	2802
22	63	2688
23	63	2587
24	63	2494
25	64	2405
26	64	2322
27	64	2245
28	64	2175
29	65	2109
30	65	2047
31	65	1989
32	66	1935
33	66	1886
34	66	1837
35	66	1793
36	67	1748
37	67	1707
38	67	1667
39	68	1632
40	68	1597
41	68	1563
42	68	1531
43	69	1500
44	69	1471
45	69	1443
46	69	1416
47	70	1391
48	70	1366
49	70	1344
50	70	1320
51	71	1299
52	71	1279
53	71	1260
54	72	1241
55	72	1222
56	72	1203
57	73	1185
58	73	1169
59	73	1153
60	73	1137
61	74	1122
62	74	1108
63	74	1093
64	75	1080
65	75	1067
66	75	1054
67	76	1041
68	76	1029
69	76	1018
70	76	1007
71	77	995
72	77	984
73	77	973
74	78	962
75	78	952
76	78	942
77	78	933
78	79	924
79	79	915
80	79	906
81	80	897
82	80	887
83	80	878
84	80	871
85	81	864
86	81	856
87	81	848
88	82	840
89	82	832
90	82	824
91	82	817
92	83	810
93	83	804
94	83	797
95	83	790
96	84	784
97	84	778
98	84	772
99	85	766
100	85	760
101	85	756
102	86	751
103	86	745
104	86	739
105	87	734
106	87	729
107	87	724
108	88	719
109	88	714
110	88	709
111	88	704
112	89	699
113	89	694
114	89	690
115	90	686
116	90	681
117	90	677
118	90	673
119	91	669
120	91	664
121	91	659
122	92	656
123	92	652
124	92	648
125	92	643
126	93	639
127	93	636
128	93	633
129	94	629
130	94	625
131	94	621
132	94	617
133	95	614
134	95	611
135	95	608
136	95	604
137	96	600
138	96	597
139	96	594
140	97	590
141	97	588
142	97	584
143	97	581
144	98	578
145	98	575
146	98	572
147	98	569
148	99	566
149	99	563
150	99	560
151	99	557
152	100	554
153	100	552
154	100	549
155	101	546
156	101	543
157	101	541
158	101	539
159	102	536
160	102	533
161	102	530
162	102	528
163	103	525
164	103	522
165	103	520
166	103	517
167	104	515
168	104	513
169	104	511
170	104	509
171	105	506
172	105	504
173	105	502
174	106	500
175	106	498
176	106	495
177	106	493
178	107	491
179	107	489
180	107	487
181	107	485
182	108	483
183	108	480
